eco,name,moves
E46,Nimzo-Indian Defense: Simagin Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2 d7d5 a2a3 b4d6
E47,"Nimzo-Indian Defense: Normal Variation, Bishop Attack",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3
E48,"Nimzo-Indian Defense: Normal Variation, Bishop Attack, Classical Defense",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5
E48,Nimzo-Indian Defense: Ragozin Defense,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 b8c6 e1g1
E49,"Nimzo-Indian Defense: Normal Variation, Botvinnik System",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 a2a3 b4c3 b2c3
E50,Nimzo-Indian Defense,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3
E51,"Nimzo-Indian Defense, Ragozin Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 b8c6 e1g1 d5c4
E51,"Nimzo-Indian Defense: Normal Variation, Ragozin Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5
E51,"Nimzo-Indian Defense: Normal Variation, Sämisch Deferred",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5 a2a3
E52,"Nimzo-Indian Defense: Normal Variation, Schlechter Defense",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 b7b6
E53,"Nimzo-Indian Defense: Normal Variation, Gligoric System",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5
E53,"Nimzo-Indian Defense: Normal Variation, Gligoric System",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 b8d7
E53,"Nimzo-Indian Defense: Normal Variation, Gligoric System, Keres Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 b7b6
E54,"Nimzo-Indian Defense: Normal Variation, Gligoric System, Exchange at c4",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 d5c4 d3c4
E54,"Nimzo-Indian Defense: Normal Variation, Gligoric System, Smyslov Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 d5c4 d3c4 d8e7
